day,truck,order,id,namePoint,lat,lon,volume
0,3,0,166,Sede Social Real Audiencia ,-33.622626000000004,-70.58724699999999,4.032
0,3,1,9,Centro Comercial Plaza Puente,-33.611712,-70.57668699999999,10.8
0,3,2,79,Centro Cultural Juan Estay ,-33.595440999999994,-70.571159,13.8
0,3,3,83,Centro Educacional Nueva Creación,-33.589908,-70.547007,10.8
0,3,4,104,Colegio Maipo ,-33.613454,-70.559315,5.247
0,3,5,184,Dimao,-33.612239,-70.578518,10.8
0,3,6,129,Escuela Los Andes,-33.614168,-70.56369000000001,12.72
0,3,7,49,Liceo San Gerónimo,-33.627809,-70.58728599999999,17.28
0,3,8,183,Sede Social Eugenio Matte,-33.609764,-70.583765,10.8
0,3,9,112,Sede Social San Alberto Casas Viejas,-33.613191,-70.52369,17.175
0,2,241,89,Centro De Salud Laurita Vicuña,-33.590996999999994,-70.595345,10.8
0,2,245,74,Duoc Uc,-33.598372,-70.578556,10.8
0,2,246,75,Edificio Consistorial,-33.595374,-70.579321,4.032
0,2,248,14,Escuela Ejercito Libertador,-33.608958,-70.591758,10.8
0,2,249,182,Escuela Republica De Grecia,-33.60569,-70.584327,4.032
0,2,261,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.55909399999999,9.42
0,2,266,137,Sede Social Mariano Latorre,-33.593754,-70.574798,32.7
0,2,268,38,Sede Social Villa Las Caletas 3,-33.596381,-70.563908,10.407
0,0,242,157,Conjunto Habitacional  Condominio Brisas Del Maipo,-33.605721,-70.541185,5.247
0,0,243,28,Conjunto Habitacional Monteverde ,-33.590885,-70.561112,10.8
0,0,244,119,Consultorio Padre Manuel Villa Seca ,-33.586231,-70.586642,4.032
0,0,247,42,Escuela Casas Viejas,-33.607861,-70.527158,4.032
0,0,264,188,Sede Social Cerro La Ballena,-33.598528,-70.558849,21.72
0,0,265,152,Sede Social Lomas  Orientes,-33.61308,-70.548002,4.032
0,0,267,132,Parque San Francisco,-33.582471000000005,-70.568569,20.775
0,1,17,97,Malla de Plástico Finlandia con Circunvalación,-33.615556,-70.55949,3.0
0,1,98,156,Malla de Plástico Plaza Arquitecto Eugenio Cerda Con Los Molles,-33.587449,-70.58335699999999,1.215
0,1,99,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.58646800000001,4.5
0,1,100,148,Malla de Plástico Peñón con Nemesio Vicuña,-33.580096000000005,-70.576554,1.215
0,1,205,3,Malla de Plástico Villa La Foresta,-33.589551,-70.581898,3.0
0,1,222,197,Conjunto Habitacional Geosal  Nuevo Siglo Morado,-33.588516999999996,-70.558137,1.215
0,1,238,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215
0,1,250,95,Malla de Plástico Villa hermanos La Salle,-33.614871,-70.595762,3.0
0,1,251,172,Sede Social Villa Los Productores B,-33.586143,-70.593086,3.0
0,1,252,127,Malla de Plástico Villa Andes del Sur ,-33.565225,-70.579437,3.0
0,1,253,163,Malla de Plástico Villa Caleuche,-33.625156,-70.62013,1.215
0,1,255,81,Sede Social Villa Los Productores 1,-33.58534,-70.590088,3.0
0,1,256,87,Malla de Plástico Eduardo Cordero Con Santa Elena ,-33.605610999999996,-70.57427,3.0
0,1,259,195,Malla de Plástico Trasmontes Con Aragonés,-33.600227000000004,-70.54994599999999,1.215
0,1,260,198,Malla de Plástico Valle Del Sol Con Valle Rocío ,-33.557116,-70.55958000000001,3.0
0,1,262,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.55909399999999,9.42
0,1,263,159,Sede Social Portal Andino ,-33.590213,-70.566766,1.215
1,0,10,145,Complejo Educacional Consolidada 1,-33.611784,-70.571731,10.8
1,0,11,90,Jardín Infantil Carritos de Ilusión,-33.624987,-70.59008,4.032
1,0,12,62,Jardín infantiles de la Corporación Monseñor Alvear,-33.628714,-70.608713,1.08
1,0,22,11,Colegio Cordillera ,-33.603169,-70.579759,4.032
1,0,23,100,Colegio Domingo Matte Mesías,-33.60822,-70.583298,4.032
1,0,28,80,Colegio Pedro Apóstol ,-33.625009999999996,-70.59218800000001,4.032
1,0,29,16,Colegio Polivalente Raulí,-33.614405,-70.592515,4.032
1,0,31,146,Complejo Educacional Consolidada 2,-33.611754,-70.571267,10.8
1,0,38,147,Escuela Ejercito Libertador,-33.611074,-70.570444,4.032
1,0,44,51,Escuela Oscar Bonilla,-33.621345,-70.59202900000001,4.032
1,0,50,155,Jardín infantiles de la Corporación Almendral,-33.630047999999995,-70.620467,1.08
1,0,55,52,Jardín infantiles de la Corporación Chiloé,-33.627091,-70.623193,1.08
1,0,58,177,Jardín infantiles de la Corporación Fco. Coloane I,-33.629993,-70.626007,1.08
1,0,59,8,Jardín infantiles de la Corporación Fco. Coloane II,-33.629342,-70.626868,1.08
